Enova International INC
Pleiades New Energy Ventures (PLEIADES SA)
Jasper Energy Hellas
Northland Power INC
Statskog SF
Equitix LTD ; Octopus ; Macquarie Capital
Macquarie Capital
Svea Vind Offshore AB
KNK Wind GMBH; KNK Ocean Breeze GMBH
Stadtwerke Munchen GmbH; TronderEnergi Kraft AS
NUON
Sunly Energy
Eneco
Orsted ; German Pension Funds
Macquarie Capital
Windreich AG
Fortum  ; Helen Oy
RWE
New Energy of Ukraine Alliance
Scottish and Southern Energy (SSE)
Lofotkraft Vind
Aquila Capital
Scottish and Southern Energy (SSE)
Schroders PLC
ScottishPower Renewables
Eneco
Foresight Group
Lyse Produksjon AS
Scottish and Southern Energy (SSE)
Vattenfall AB
Continental Wind Partners
Fred Olsen Renewables AB
Nord-Norsk Vindkraft AS
Jasper Energy Hellas
Parkwind NV ; Sumitomo Corp
Repsol SA; other ; Pontegadea Inversiones SL
Aspiravi
Iberdrola
Renewables Infrastructure Group LTD (TRIG)
Evelop UK LTD
JSC VetroOGK
Orsted; Green Investment Group (GIG) ; Equitix LTD
DeWind CO
Terna Energy
Energinet
other ; Engie; SUSI Partners AG
SEAS-NVE Energy Group
Stena Renewables Energy AB
Enel
KL Energy
Fitjar Kraftlag SA; Ostfold Energi; Vardar; Aquila Capital
Statkraft AS
Siragrunnen AS
Speranta & Succesul SA
RWE
Vindkraft Nord AS
Baltic Wind Park
Grenselandet AS ; Finnmark Kraft AS
Krym-Eol LTD
Sarepta Energi AS
TronderEnergi Kraft AS
Ulvig Kiaer AS
Statkraft AS
Eviny
Arzteversorgung Westfalen-Lippe
Baltic Blue Energy OU
Community Owned
TREVI Energy SPA
WPD
WBA Energy
C-Power
Orsted
Orsted
DIV Wind; Long Man Wind Energy
TronderEnergi Kraft AS ; Statkraft AS ; Nordic Wind Power DA
Vattenfall AB
Enel
NOTUS Energy
Aurora Vindkraft AS
RWE
EDF
EDF
Scottish and Southern Energy (SSE)
Vattenfall AB
Statkraft AS
Eviny
E.ON ; Credit Suisse Energy Infrastructure Partners (CSEIP)
E.ON ; Energi E2 AS ; Orsted
Parkwind NV ; Meewind ; Sumitomo Corp
Parkwind NV ; Meewind ; Sumitomo Corp
Prime Capital AG
Vindkraft Kalanchak LLC
Aquila Capital
Hellenic Technodomiki Wind SA
Abei Energy
SRS Bulgaria EOOD; Windfarm Holding; Winvest
JSC VetroOGK
Fred Olsen Renewables AB
Continental Wind Partners
Prime Capital AG
Finnmark Kraft AS
Vattenfall AB ; Orsted
Masdar
Glennmont Partners
Norinco International CORP LTD
AES Corp
Stena Renewables Energy AB
Luxcara GMBH
50Hertz Offshore GMBH; BEC Energie Consult GMBH
Vattenfall AB ; Vestas; AIP Management P/S
NUON
Gigawatti Oy
CapMan Infra; Red Rock Power LTD
Argos Aiolos Single Member SA
TronderEnergi Kraft AS
Zephyr AS
Windpark Dobrudzha DOO; PNE AG
Statkraft AS
Monsson; Continental Wind Partners
Vattenfall AB
Dei Energy; Mitsubishi Corporation Energy Solutions LTD
RWE
VPBC Vetar
Statkraft AS
Vindkraft Nord AS
European Energy A/S
Aquila Capital
Nord-Norsk Vindkraft AS
Renewable Power Capital
Mirova; Spanish Capital Group Uriel
Capital Energy
Sunly Energy
Private Owners
Nordisk Vindkraft
EDF
Holmen Group
PUSPOK Group
Ilmatar
Prime Capital AG; CPC Finland Oy
Compagnie Nationale du Rhone (CNR)
Eneco
Statkraft AS
Havgul Clean Energy AS
Innovative Wind Concepts (IWC) Bulgaria VP 5
Ulvig Kiaer AS
Renantis UK Ltd
Fred Olsen Renewables AB
Mediterranean Wind Offshore SRL
ScottishPower Renewables
Allianz SE
East Renewable Energy AB
Lundin Energy; Sval Energi AS
Stadtwerke Munchen GmbH
Sunly Energy
Persson Invest AB; Jamtkraft AB
Lager Group
Havgul Clean Energy AS
Havgul Clean Energy AS
Statkraft AS
TronderEnergi Kraft AS ; Stadtwerke Munchen GmbH
Eneco; Mitsubishi Corporation Energy Solutions LTD
Eneco; Mitsubishi Corporation Energy Solutions LTD
Aurora Vindkraft AS
Eolica Dobrogea
Kamen-Dent DOO
Taaleri Energia Funds Management OY
Taaleri Energia Funds Management OY
TronderEnergi Kraft AS ; Statkraft AS ; Nordic Wind Power DA
Guris; Greenworx
EDP; Engie; Repsol SA; Principle Power Inc
Element Power
ScottishPower Renewables
Monsson
Allianz SE
Vattenfall AB
Polenergia SA
JSC VetroOGK
JSC VetroOGK
NOTUS Energy
Sunly Energy
Sunly Energy
HybridTech Renewables AS
Hovatn Aust Vindkraft AS
Haugaland Kraft
Elektro Primorska
Ostjysk Energi; Vindmollelaug Arhus Bugt (VAB); Viby Elvaerk; Brabrand Elselskab; NRGi; Galten Elvaerk
Finnmark Kraft AS
RWE
Enel
ScottishPower Renewables
Statkraft AS
Lyse Produksjon AS
W Power LTD
Cannon Power Group
Greentech CORP
Rabobank; EKF Denmark; Dexia Group
Scottish and Southern Energy (SSE)
OX2 AB
Scottish and Southern Energy (SSE)
EPV Energia Oy
EPV Energia Oy
Aquila Capital
Scottish and Southern Energy (SSE)
Greentech CORP
BlackRock
EDP
Sunly Energy
Copenhagen Infrastructure Partners
Novenergia
East Renewable Energy AB
Enlight Renewable Energy
TronderEnergi Kraft AS ; Statkraft AS ; Nordic Wind Power DA
EWE; Enova International INC
Enbridge Inc ; EnBW
Gudbrandsdal Energi; Eidsiva Energi; Stadtwerke Munchen GmbH
Luxcara GMBH; Norsk Vind AS
WPD ; Gothaer Leben Renewables GMBH ; John Laing Group PLC
C-Power
Alpha Grissin SA; Preneal Internacional SA
Akuo Energy
Ventelys
Scottish and Southern Energy (SSE)
Austri Kvitvola DA
Statkraft AS
TronderEnergi Kraft AS
Ulvig Kiaer AS
Norsk Vind AS
Vattenfall AB
Statkraft AS
ScottishPower Renewables
Capital Energy
Scottish and Southern Energy (SSE) ; Coillte
Hidroelectrica
TG Energie Rinnovabili SRL
Iberdrola
ScottishPower Renewables
Orsted
Shell PLC
Statkraft AS
IVICOM Energy
Fred Olsen Renewables AB
Azora Capital
Havgul Clean Energy AS; BayWa R.E. AG
Enlight Renewable Energy
Statkraft AS
DTEK
Offshore Vindenergi AS
Enertrag LTD
Cloudberry Clean Energy ASA ; Akershus Energi ; other ; KLP
Enel
Enlight Renewable Energy
EPV Energia Oy
Delta Wind; Cooperatie Zeeuwind; Kallista Energy
Luxcara GMBH
Greencoat
Chetverty vetropark FRV
Fred Olsen Renewables AB
Fred Olsen Renewables AB
Eneco
WPD
OOO Vtoroi Vetropark FRV
OOO Vtoroi Vetropark FRV
Chetverty vetropark FRV
ESB Group
ScottishPower Renewables
DTEK
DTEK
Bondcom Green Energy
Cloudberry Clean Energy ASA ; Hafslund Eco
Verbund
Verbund
The Concorde Group LLC
Korea South-East Power Co Ltd; European Bank for Reconstruction and Development (EBRD); Samsung Heavy Industries CO LTD (SHI); Macedonian government
EDP
NVision Energy
Fred Olsen Renewables AB
Statkraft AS
Ecosource Energy
Norsk Miljokraft AS
OOO Treti Vetropark FRV
Fortum
Energy Infrastructure Partners (EIP); Fortum
DTEK
EDF
Terna Energy
Longwing Ukraine LTD
Skelleftea Kraft AB ; Fortum
ERG
EDP
EIG Global Energy Partners ; Centrica PLC
EIG Global Energy Partners ; Centrica PLC
WPD
Vattenfall AB
Volterra SA
Velocita Energies
RWE AG
RWE
EDF
Stena Renewables Energy AB
Synergics Energy Development
Vent 1 Capo Rizzuto S.R.L.
Saras Group SPA
BayWa R.E. AG
EWZ
Energia
DTEK
Malta Resources Authority
Ignitis Grupe AB
TronderEnergi Kraft AS ; Statkraft AS ; Nordic Wind Power DA
Scottish and Southern Energy (SSE); Greencoat
PGE Energia Odnawialna SA
Nordisk Vindkraft
Scottish and Southern Energy (SSE)
ESB Group; Bord na Mona PLC
RWE AG
En Avel Braz
KGAL Group
Svevind AB
Ventient Energy
Enel
Enel
Amazon
GLIL Infrastructure
Taaleri Energia Funds Management OY
Alandsbanken; YIT Rakennus OY
NTR plc
TTR Energy
Enel
Prime Capital AG
Statkraft AS
Fortum
Greencoat
Fred Olsen Renewables AB
RWE AG
RWE
Statkraft AS
Wind Power Generation Company
Inter IKEA Group
Renovatio Power SRL
Statkraft AS
Bjerkreim Vind AS
Enel
Zephyr AS
Statkraft AS
RWE AG ; Macquarie Capital
Orsted
Novenergia
Orsted
Vattenfall AB
Norsk Hydro ASA
Banks Renewables
Smart Windpower Oy
Smart Windpower Oy
Equinor ASA
Gazprombank; Fortum
Scottish and Southern Energy (SSE)
Greencoat
TronderEnergi Kraft AS ; Stadtwerke Munchen GmbH
Gazprombank; Fortum
Gazprombank; Fortum
Green Bear Corporation
EDF
Orron Energy AB
Helen Oy; CPC Finland Oy
Reichmuth Infrastruktur II KMGK; NTR plc
Octopus; Mirova
Eurus Energy
SFE Produksjon AS
Ventinveste Eolica SGPS SA
E.ON
Anaptexe Epeirou Wind Single Member PVT CO
Element Power
KfW Ipex-Bank; Skandinaviska Enskilda Banken Helsinki Branch AB
SCA Energy AB; Statkraft AS
Macquarie Capital
Terna Energy
Sunly Energy
Sunly Energy
CapMan Infra; Red Rock Power LTD
Arzteversorgung Westfalen-Lippe
Bord na Mona PLC
Public Power Corporation SA
Windkraft Simonsfeld AG
Alpiq
E.ON
E.ON
CEE; GEO Renewables
Renewable Power Capital
Landwind Group
TAURON Polska Energia SA
ERG
Community Windpower
Energix Renewable Energies
PROKON; Neoen
Energie Burgenland
China General Nuclear Power Group (CGN)
Finerge SA
Capital Energy
BlackRock
TINC
Israel Infrastructure Fund
Troms Kraft Produksjon AS
Gaberia International; Loger
Joannou & Paraskevaides LTD; EnerCap; Marguerite Fund
Eolica Dobrogea
Statskog SF
Bjerkreim Vind AS
Vattenfall AB
Engie
Mjos og Kollsnes Vindpark AS
Vauban Infrastructure Partners
Munich RE AG
EDP
Fred Olsen Renewables AB
DTEK
Ilmatar
Zephyr AS
Jamtkraft AB
Winvast BV; Eneco; Vattenfall AB
Jamtkraft AB; Skanska AB; OX2 AB
Engie
Ventient Energy
Ventient Energy
OX2 AB
Eneco
Trustenergy SA
Allianz SE
Energia Eolica Gregal SL
Tolpanvaara Wind Farm OY
Longyuan Power Overseas Investment CO LTD ; Hero Asia Investment LTD ; other
Bord na Mona PLC
Luxcara GMBH
Energy Infrastructure Partners (EIP); Fortum
PGE Energia Odnawialna SA
Tozzi Sud SPA
Gazprombank; Fortum
Gazprombank; Fortum
Banks Renewables
KGAL Group
Skelleftea Kraft AB ; Fortum
Denker & Wulf AG
Skelleftea Kraft AB ; Fortum
Summa
Equinor ASA
BKW AG AG
Renantis UK Ltd
GK Gruppen ApS; Community Ownership; Eurowind Energy A/S
EDF
Stemma Group
Eolica Dobrogea
EDF
EDF
Tohkojan Tuulipuisto OY
Exilion Tuuli Ky
FuGen; Alpiq
Scottish and Southern Energy (SSE)
NovaWind
Sunly Energy
WPD
Akuo Energy ; Masdar
SC Lalomita Power SRL
Allianz SE
Scottish and Southern Energy (SSE)
Mollelauget Norhede-Hjortmose Vindkraft I/S; Encavis AG; AURA Energi
Fri-El SPA
50Hertz Offshore GMBH; Adlergrund 500 GMBH; BEC Energie Consult GMBH
Rapsoil SIA
Statskog SF
EDF
Greencoat
Enel
Fred Olsen Renewables AB
Green Repower
Samaras ; Copelouzos Group
DIF Capital Partners
Taaleri SolarWind II fund ; Atsinaujinan_ios Energetikos Investicijos
EDP
Rosatom State Nuclear Energy CORP (ROSATOM)
Vattenfall AB
Renantis UK Ltd
Nord-Norsk Vindkraft AS
ERG
Scottish and Southern Energy (SSE)
EDP
Enel
Enel
Enel
Enel
Statkraft AS
Green Investment Group (GIG)
RWE
Alerion
EDF
Alpiq
Statkraft AS
Edison SpA
Statkraft AS
Greencoat
Encavis AG
TronderEnergi Kraft AS
MK Fintel Wind
ScottishPower Renewables
Scottish and Southern Energy (SSE)
Vindin AB
Cernavoda Power SRL
Cernavoda Power SRL
PUSPOK Group
RWE
Verbund
Renewable Energy Systems (RES)
Aquila Capital
Aquila Capital
Vasa Vind
Vindkraft Ukraina LLC
Scottish and Southern Energy (SSE)
EVV Renewable Energy
Scottish and Southern Energy (SSE)
Scottish and Southern Energy (SSE)
Niata Wind SA
Renewables Infrastructure Group LTD (TRIG)
Norsk Vind AS
RWE AG ; Community Owner - City of Bedburg
Statkraft AS
Taaleri SolarWind II fund ; Atsinaujinan_ios Energetikos Investicijos
Akuo Energy
Capital Energy
PGE Energia Odnawialna SA
Taaleri Energia Funds Management OY
Scottish and Southern Energy (SSE)
Ventient Energy
Eneco
EDF
Edison SpA
Engie
Bois Elie SASAU
Boralex
Boralex
Aquila Capital
GLIL Infrastructure
Alerion
Pajurio Jegaines
Statkraft AS
Statkraft AS
Statkraft AS
Fred Olsen Renewables AB
Orsted
Ventient Energy
Iberdrola
AES Corp
Generg
EVV Renewable Energy
Wind of Ipirus Energy SA
UAB Ignitis Renewables
Luxcara GMBH
Private Owners
Fred Olsen Renewables AB
ORLEN Group SA
ERG
Orsted
ERG
Samaras ; Copelouzos Group
RWE AG
Vasa Vind
Stena Renewables Energy AB
PGE Energia Odnawialna SA
Community Windpower
Airenergy PVT CO
Boreads Wind Single Member PVT CO
Energreen
Elawan Energy SL
Moldova Eolian; DTEK
Pure Energie
JSC VetroOGK
JSC VetroOGK
Elementum Energy LTD
Reichmuth Infrastruktur II KMGK
Eurowind Energy A/S
JSC VetroOGK
JSC VetroOGK
TronderEnergi Kraft AS ; Stadtwerke Munchen GmbH
RIVE Private Investment
NovaWind
PLT Energia SRL
Lofotkraft Vind
Vat Portugal
SC Lalomita Power SRL
Enefit Green
Fred Olsen Renewables AB
Statkraft AS
NOTUS Energy
Vision Group Balcan
Polskiej Si_y Wiatru
MET Group
Elektrizitatswerk Der Stadt Zurich (EWZ); Norsk Vind AS; Norsk Vindpro AS; Eurus Energy
Statkraft AS
TronderEnergi Kraft AS
Troms Kraft Produksjon AS
F2i SGR
F2i SGR
Ventient Energy
Zephyr AS
Equinor ASA
Statkraft AS
ESB Group
Greencoat
ScottishPower Renewables
RWE AG
Airenergy PVT CO
Utilitas
Enel
Zensur Zrmanja; CE Energy Holding AG
Commerz Real AG
Loscon GMBH; mea Energieagentur Mecklenburg-Vorpommern GmbH; Municipality of Hoort
European Energy A/S
Hrvatska elektroprivreda dd
RWE AG
Eurus Energy
Coillte; Greencoat; Bord na Mona PLC
EDF
JPEE
Ostfold Energi; Vardar
Alerion
Alerion
TronderEnergi Kraft AS ; Stadtwerke Munchen GmbH
Moncada Energy Group
Theolia SA
EVV Renewable Energy
Fred Olsen Renewables AB
RWE AG
E.ON
RWE
Nord-Norsk Vindkraft AS
WindStrom
Enerco Energy
Statskog SF
NEK Umwelttechnik AG ; Copelouzos Group
Puhuri Oy
Energix Renewable Energies
Gudbrandsdal Energi; Eidsiva Energi; Stadtwerke Munchen GmbH
Iberdrola
Energix Renewable Energies
EPV Energia Oy
CPC Germania GmbH & Co KG
CPC Germania GmbH & Co KG
BKW AG
Enel
Enel
EDF
Breeze Energy
Ilmatar
Nordex
Glennmont Partners
Suomen Hyotytuuli Oy
Israel Infrastructure Fund
TronderEnergi Kraft AS ; Stadtwerke Munchen GmbH
Zweite Invest-Wind Waldrach GMBH & CO KG
UKA Group
Austri Kjolberget DA
Inergia SPA
Statkraft AS
Statkraft AS
Gkoura Wind Energy SA
EDF
Vattenfall AB
Community Owners - Waddenwind
Enerco Energy
Capital Energy
Capital Energy
BKW AG
C&C Energy
Allianz SE
EDP
Engie
RWE
Troms Kraft Produksjon AS
Hexicon AB
E2I Energie Speciali SRL
Statskog SF
Sorgenia France
Nord-Trondelag Elektrisitetsverk (NTE)
Generg
Enel
European Energy A/S
Fri-El SPA
Allianz SE
Tekniska Verken
CEE
Blue Energy
Allianz SE
EPV Energia Oy
Ostfold Energi; Vardar
Wind-Projekt
MVV Energie AG
IWC Bulgaria 4
Cierco
E.ON
PNE AG
Cube Infrastructure Managers ; Varanger Kraft AS
Alerion
Ardian ; Finnmark Kraft AS
Allianz SE
Venture Equity Bulgaria PVT ; Pro EcoEnergia LTD
Renewable Energy Systems (RES)
Allianz SE
Renantis UK Ltd
EDF
JP Elektroprivreda BiH
WPD
Alerion
QAir Group
Enel
Vattenfall AB
Banks Renewables
Volkswind GmbH; RWE AG
RWE AG
Elektroprivreda Hrvatske Zajednice Herceg Bosne (Elektroprivreda HZHB)
IKEA
Holmen Group
Eneco
Falkon Caital
Lyse Produksjon AS
EDP
Kermas Group; Omega; EOL PRVI DOO
Engie
PUSPOK Group
enercity AG
Energa
Enel
RWE AG
EDF
SFE Produksjon AS
WPD; Innergex Renewable Energy
Rokas Renewables
Ellaktor SA
Energiekontor
Ignitis Grupe AB
CJR Renewables
Waterschap Zuiderzeeland; Windshare Groen BV
Prime Capital AG; CPC Finland Oy
Taaleri SolarWind II fund ; Atsinaujinan_ios Energetikos Investicijos
Naturgy
Energias Renovables de Dione SL
Energias Renovables de Lisitea SL
Shell PLC
ORLEN Group SA
Iberdrola
Cloudberry Clean Energy ASA ; Akershus Energi ; other ; KLP
Capital Energy
Elawan Energy SL
Elawan Energy SL
Elawan Energy SL
Estudios y Proyectos Pradamap SL
Grupo Enhol
Grupo SAMCA
Energiekontor
Iberdrola
Iberdrola
Iberdrola
EDP
OOO Sedmoi Vetropark FRV
Gazprombank; Fortum
EDP
Grupo SAMCA
Enel
Greenalia SA
Naturgy
ABO Wind
ABO Wind
ABO Wind
OOO Sedmoi Vetropark FRV
Grupo Enhol
Enerfin Resources CO
CE Energy Holding AG
OOO Pervy Vetropark FRV
CPC Finland Oy
Renantis UK Ltd
Grupo Jorge
Naturgy
Vattenfall AB
TGC-1
Wind Power Generation Company
Energy Infrastructure Partners (EIP); Fortum
Windpark Ovelgonne Betriebs GMBH & CO KG
Kotkan Energia OY
ESB Group
TLG DOO
Energix Renewable Energies
Mireasa Energies
Vattenfall AB
SC Alizeu Eolian SA
Exilion Tuuli Ky
E.ON
Community Windpower
Compagnia Finanziaria De Benedetti SPA (Cofide); Verbund
Aldesa Group
Iberdrola
Desarrollos Eolicos Cuenca de Barbera SL
ENEA
EDP
Enel
Viesgo Renovables SL
Endesa SA; Enel
Saeta Yield SA
Energie Versorgung Niederosterreich AG ; Enertrag LTD
Iberdrola
E2I Energie Speciali SRL
Trustenergy SA
Iberdrola
Eolia Renovables SA (EOLIASUR)
Fred Olsen Renewables AB
Enertrag LTD; Energie Versorgung Niederosterreich AG
Engie
EDP
Ventient Energy
Eolia Renovables SA (EOLIASUR)
Iberdrola
Renewable Energy Systems (RES)
Finerge SA ; Guild Investments LTD
Saeta Yield SA
Acciona
Renovalia Energy Group
EDP
Enel
Iberdrola
Saeta Yield SA
ACS Group
Eufer
Exus Partners
Acciona
Enel
Enerco; Invenergy LLC
Acciona ; Med Wind
Norvento
Iberdrola
Iberdrola
Iberdrola
Acciona ; Med Wind
EDP
Iberdrola
Acciona
Iberdrola
Acciona ; Med Wind
Acciona ; Med Wind
Acciona ; Med Wind
Iberdrola
Iberdrola
Enerfin Resources CO
ACS Group
Exus Partners
Renovalia Energy Group
Acciona
EDP
Ecotecnica
Iberdrola
Acciona
Acciona
Zephyr AS
Statkraft AS
Grupo Lamelas Viloria
Windpower Hungaria KFT
EDP
Iberdrola
Viesgo Renovables SL
Iberdrola
Iberdrola
Iberdrola
Grupo Ibereolica Renovables
Acciona ; Med Wind
Iberdrola
Grupo SAMCA
Iberdrola
Iberdrola
Iberdrola
Renantis UK Ltd
Renantis UK Ltd
Fina Eolia
Fina Eolia
Iberdrola
Iberdrola
Naturgy; ACS Group
Iberdrola
Iberdrola
Iberdrola
Iberdrola
Fri-El SPA
ERG
Fomentos de Construcciones y Contratas (FCC)
Grupo SAMCA
RWE; Eolia Renovables de Inversiones SCR SA
Fomentos de Construcciones y Contratas (FCC)
Exus Partners
Exus Partners
RWE; Eolia Renovables de Inversiones SCR SA
Helia Renovables
Mirova Eurofideme
Mirova Eurofideme
Mirova Eurofideme
Copenhagen Infrastructure Partners
Copenhagen Infrastructure Partners
EDP
Statkraft AS
Community Windpower
Pilot Offshore Renewables LTD (PORL)
Scottish and Southern Energy (SSE)
Scottish and Southern Energy (SSE)
EDP
Eolica Alta Anoia SL
IGEwind Renewable SL; Nordex
Eolica la Conca
Vattenfall AB
Renewable Energy Systems (RES)
Tekniska Verken
Greencoat
Repsol SA; other ; Pontegadea Inversiones SL
Repsol SA; other ; Pontegadea Inversiones SL
Eolia Renovables SA (EOLIASUR)
Iberdrola
Vasa Vind
WPD
Naturgy
Enel
BayWa R.E. AG
Community Windpower
PGE Energia Odnawialna SA
Inversiones Empresariales Vapat SL
Inversiones Empresariales Vapat SL
SachsenFonds; Aviva Investors
Finerge SA
Iberdrola
Eolia Renovables SA (EOLIASUR)
Inversiones Empresariales Vapat SL
Iberdrola
Iberdrola
Iberdrola
Iberdrola
Acciona
Grupo Jorge; Viesgo Renovables SL; Enerfin Sociedad de Energia SL
Enlight Renewable Energy
Copenhagen Infrastructure Partners
Copenhagen Infrastructure Partners
Mirova Eurofideme
ScottishPower Renewables
European Wind Farms Greece LLC
Rabbalshede Kraft AB
Ventient Energy
Terna Energy
Ventient Energy
Ellaktor SA
RWE AG
Octopus
Ilmatar
Acciona
RWE AG
Octopus
Octopus ; other
Elektroprivreda Bosne i Hercegovine (EPBiH)
Rosatom State Nuclear Energy CORP (ROSATOM)
NTR plc
IEL OIE Balkan Renewable Energy
BayWa R.E. AG
Spider Energy SA
Boralex
SC Verbund
Gigawatti Oy
PROKON ; GLS Beteiligung AG
Kamen-Dent DOO
Kamen-Dent DOO
VisaVento Holding AG
Polenergia SA
NV Wind aan de Stroom
E.ON
UKA Group
Community Windpower
Energa
Grupa Eko Park
RWE
E.ON
QAir Group
Enel
Finerge SA
other ; Audax Renovables ; Acciona
CEZ Group
TAURON Polska Energia SA
EDF
EDP; Ventient Energy
Finerge SA
Statkraft AS
JP Elektroprivreda BiH
Iberdrola
Saeta Yield SA
Allianz SE
EnBW
RWE AG
OM O2
Green Investment Group (GIG)
Mitsui & Co Ltd
Greencoat
Community Windpower
F2i SGR
Iberdrola
Statskog SF
Scottish and Southern Energy (SSE)
Iberdrola; Acciona
Iberdrola
Acciona
Iberdrola
Acciona
Iberdrola
Engie
ERG
Athena Investments
ICQ Holding SPA
Braila Winds SRL
Eyra; ACS Group
Copenhagen Infrastructure Partners
EDP; Ventient Energy
ScottishPower Renewables
ERG
Scottish and Southern Energy (SSE)
Renantis UK Ltd
Onex Renewables
Enel
Aneo
ContourGlobal ; Regional Partner
Inversiones Empresariales Vapat SL
Inversiones Empresariales Vapat SL
ACS Group
